age_group,country,population_gender,population_thousands
100+,AU,female,1.0
95-99,AU,female,9.0
90-94,AU,female,47.0
85-89,AU,female,118.0
80-84,AU,female,199.0
75-79,AU,female,298.0
70-74,AU,female,415.0
65-69,AU,female,574.0
60-64,AU,female,636.0
55-59,AU,female,714.0
50-54,AU,female,778.0
45-49,AU,female,778.0
40-44,AU,female,820.0
35-39,AU,female,797.0
30-34,AU,female,881.0
25-29,AU,female,895.0
20-24,AU,female,820.0
15-19,AU,female,768.0
10-14,AU,female,743.0
5-9,AU,female,784.0
0-4,AU,female,824.0
100+,AU,male,4.0
95-99,AU,male,25.0
90-94,AU,male,94.0
85-89,AU,male,179.0
80-84,AU,male,252.0
75-79,AU,male,338.0
70-74,AU,male,438.0
65-69,AU,male,592.0
60-64,AU,male,660.0
55-59,AU,male,739.0
50-54,AU,male,798.0
45-49,AU,male,793.0
40-44,AU,male,838.0
35-39,AU,male,801.0
30-34,AU,male,865.0
25-29,AU,male,851.0
20-24,AU,male,787.0
15-19,AU,male,737.0
10-14,AU,male,707.0
5-9,AU,male,745.0
0-4,AU,male,781.0
75-79,CA,male,530.0
75-79,CA,female,446.0
35-39,CA,male,1192.0
25-29,CA,male,1220.0
95-99,CA,female,13.0
40-44,CA,female,1179.0
30-34,CA,male,1240.0
60-64,CA,male,1142.0
55-59,CA,female,1287.0
45-49,CA,female,1232.0
85-89,CA,male,300.0
50-54,CA,female,1400.0
100+,CA,female,1.0
70-74,CA,female,650.0
95-99,CA,male,42.0
100+,CA,male,7.0
90-94,CA,female,68.0
50-54,CA,male,1391.0
0-4,CA,female,1045.0
5-9,CA,female,1011.0
70-74,CA,male,715.0
10-14,CA,female,983.0
55-59,CA,male,1305.0
45-49,CA,male,1217.0
20-24,CA,male,1159.0
15-19,CA,female,1054.0
20-24,CA,female,1203.0
65-69,CA,female,914.0
40-44,CA,male,1169.0
90-94,CA,male,153.0
65-69,CA,male,973.0
60-64,CA,female,1094.0
85-89,CA,female,183.0
25-29,CA,female,1273.0
5-9,CA,male,960.0
80-84,CA,male,422.0
30-34,CA,female,1262.0
10-14,CA,male,929.0
0-4,CA,male,991.0
35-39,CA,female,1189.0
15-19,CA,male,1009.0
80-84,CA,female,318.0
70-74,DE,female,2099.0
80-84,DE,male,1486.0
60-64,DE,male,2799.0
100+,DE,female,3.0
5-9,DE,male,1690.0
75-79,DE,male,2421.0
70-74,DE,male,2362.0
65-69,DE,male,2134.0
85-89,DE,female,517.0
25-29,DE,male,2495.0
60-64,DE,female,2575.0
0-4,DE,male,1713.0
55-59,DE,female,2983.0
50-54,DE,female,3614.0
30-34,DE,male,2571.0
45-49,DE,female,3525.0
40-44,DE,female,2633.0
35-39,DE,male,2402.0
65-69,DE,female,2003.0
35-39,DE,female,2448.0
20-24,DE,male,2161.0
30-34,DE,female,2627.0
95-99,DE,female,17.0
40-44,DE,male,2559.0
75-79,DE,female,1932.0
25-29,DE,female,2593.0
10-14,DE,male,1800.0
20-24,DE,female,2266.0
15-19,DE,female,2076.0
45-49,DE,male,3357.0
10-14,DE,female,1892.0
5-9,DE,female,1781.0
50-54,DE,male,3513.0
0-4,DE,female,1811.0
15-19,DE,male,1974.0
100+,DE,male,14.0
90-94,DE,female,154.0
80-84,DE,female,1016.0
95-99,DE,male,71.0
90-94,DE,male,491.0
55-59,DE,male,2996.0
85-89,DE,male,988.0
95-99,ES,female,22.0
15-19,ES,male,1027.0
85-89,ES,female,306.0
75-79,ES,female,688.0
40-44,ES,male,1924.0
100+,ES,female,3.0
90-94,ES,female,112.0
45-49,ES,female,1909.0
15-19,ES,female,1087.0
0-4,ES,male,1198.0
70-74,ES,male,1040.0
5-9,ES,female,1307.0
10-14,ES,male,1124.0
30-34,ES,female,1748.0
65-69,ES,male,1251.0
95-99,ES,male,64.0
80-84,ES,male,843.0
55-59,ES,female,1479.0
10-14,ES,female,1189.0
50-54,ES,male,1733.0
20-24,ES,male,1106.0
40-44,ES,female,2052.0
70-74,ES,female,880.0
30-34,ES,male,1646.0
35-39,ES,female,2117.0
75-79,ES,male,906.0
25-29,ES,male,1280.0
5-9,ES,male,1235.0
60-64,ES,female,1235.0
55-59,ES,male,1531.0
25-29,ES,female,1347.0
85-89,ES,male,563.0
65-69,ES,female,1119.0
100+,ES,male,9.0
90-94,ES,male,256.0
35-39,ES,male,1966.0
80-84,ES,female,559.0
0-4,ES,female,1272.0
60-64,ES,male,1316.0
50-54,ES,female,1727.0
20-24,ES,female,1175.0
45-49,ES,male,1852.0
40-44,FR,female,2212.0
60-64,FR,female,1891.0
90-94,FR,female,164.0
35-39,FR,female,1842.0
100+,FR,female,3.0
75-79,FR,male,1223.0
25-29,FR,male,2041.0
70-74,FR,female,1103.0
30-34,FR,female,2035.0
85-89,FR,female,405.0
55-59,FR,male,2125.0
90-94,FR,male,465.0
25-29,FR,female,2081.0
95-99,FR,female,20.0
75-79,FR,female,918.0
20-24,FR,female,2040.0
10-14,FR,male,1894.0
65-69,FR,male,1985.0
45-49,FR,male,2220.0
15-19,FR,female,2016.0
70-74,FR,male,1317.0
80-84,FR,female,712.0
10-14,FR,female,1985.0
80-84,FR,male,1137.0
5-9,FR,female,1992.0
50-54,FR,male,2234.0
5-9,FR,male,1914.0
60-64,FR,male,2065.0
0-4,FR,female,2035.0
40-44,FR,male,2231.0
15-19,FR,male,1916.0
85-89,FR,male,838.0
100+,FR,male,19.0
0-4,FR,male,1938.0
20-24,FR,male,1947.0
55-59,FR,female,1939.0
30-34,FR,male,2046.0
50-54,FR,female,2123.0
95-99,FR,male,82.0
45-49,FR,female,2194.0
65-69,FR,female,1780.0
35-39,FR,male,1856.0
10-14,GB,male,1690.0
35-39,GB,female,1979.0
65-69,GB,male,1858.0
60-64,GB,female,1693.0
10-14,GB,female,1771.0
95-99,GB,male,81.0
25-29,GB,female,2213.0
5-9,GB,male,1913.0
40-44,GB,female,2101.0
100+,GB,male,13.0
70-74,GB,male,1422.0
60-64,GB,male,1775.0
85-89,GB,male,602.0
30-34,GB,female,2190.0
65-69,GB,female,1735.0
55-59,GB,female,1925.0
80-84,GB,male,896.0
100+,GB,female,3.0
45-49,GB,female,2301.0
35-39,GB,male,1964.0
55-59,GB,male,1991.0
85-89,GB,female,365.0
40-44,GB,male,2147.0
95-99,GB,female,29.0
50-54,GB,male,2306.0
0-4,GB,male,1888.0
25-29,GB,male,2122.0
20-24,GB,male,1957.0
15-19,GB,female,1864.0
50-54,GB,female,2220.0
90-94,GB,male,310.0
5-9,GB,female,2007.0
20-24,GB,female,2061.0
75-79,GB,female,978.0
15-19,GB,male,1783.0
80-84,GB,female,661.0
70-74,GB,female,1273.0
30-34,GB,male,2112.0
45-49,GB,male,2349.0
75-79,GB,male,1166.0
90-94,GB,female,145.0
0-4,GB,female,1981.0
20-24,IT,male,1514.0
65-69,IT,female,1716.0
100+,IT,female,3.0
95-99,IT,female,22.0
90-94,IT,female,164.0
85-89,IT,female,440.0
60-64,IT,female,1749.0
55-59,IT,female,1976.0
15-19,IT,male,1411.0
80-84,IT,female,808.0
50-54,IT,female,2322.0
45-49,IT,female,2476.0
40-44,IT,female,2428.0
35-39,IT,female,2117.0
30-34,IT,female,1814.0
25-29,IT,female,1673.0
20-24,IT,female,1601.0
15-19,IT,female,1493.0
10-14,IT,female,1468.0
75-79,IT,female,1191.0
5-9,IT,female,1473.0
10-14,IT,male,1388.0
0-4,IT,female,1468.0
100+,IT,male,15.0
0-4,IT,male,1383.0
95-99,IT,male,79.0
90-94,IT,male,436.0
85-89,IT,male,855.0
80-84,IT,male,1231.0
75-79,IT,male,1534.0
70-74,IT,male,1567.0
65-69,IT,male,1893.0
70-74,IT,female,1338.0
60-64,IT,male,1880.0
5-9,IT,male,1395.0
55-59,IT,male,2069.0
50-54,IT,male,2373.0
45-49,IT,male,2480.0
40-44,IT,male,2411.0
35-39,IT,male,2090.0
30-34,IT,male,1791.0
25-29,IT,male,1610.0
60-64,NL,male,524.0
80-84,NL,male,231.0
5-9,NL,male,450.0
90-94,NL,female,25.0
85-89,NL,male,151.0
70-74,NL,female,351.0
55-59,NL,male,580.0
90-94,NL,male,69.0
95-99,NL,male,15.0
100+,NL,male,2.0
50-54,NL,male,636.0
0-4,NL,female,462.0
5-9,NL,female,473.0
10-14,NL,female,517.0
45-49,NL,male,637.0
15-19,NL,female,510.0
20-24,NL,male,504.0
20-24,NL,female,527.0
65-69,NL,female,518.0
25-29,NL,female,518.0
40-44,NL,male,583.0
10-14,NL,male,493.0
30-34,NL,female,503.0
95-99,NL,female,4.0
75-79,NL,female,246.0
35-39,NL,female,490.0
80-84,NL,female,158.0
35-39,NL,male,490.0
40-44,NL,female,582.0
15-19,NL,male,484.0
0-4,NL,male,438.0
45-49,NL,female,650.0
30-34,NL,male,497.0
50-54,NL,female,646.0
100+,NL,female,0.0
55-59,NL,female,581.0
25-29,NL,male,505.0
60-64,NL,female,523.0
85-89,NL,female,78.0
65-69,NL,male,527.0
70-74,NL,male,375.0
75-79,NL,male,295.0
80-84,PT,male,194.0
40-44,PT,male,418.0
65-69,PT,male,313.0
60-64,PT,male,341.0
90-94,PT,female,19.0
85-89,PT,male,115.0
80-84,PT,female,122.0
35-39,PT,female,419.0
15-19,PT,male,266.0
60-64,PT,female,308.0
90-94,PT,male,45.0
25-29,PT,male,299.0
95-99,PT,male,9.0
55-59,PT,male,366.0
65-69,PT,female,267.0
40-44,PT,female,416.0
100+,PT,male,1.0
75-79,PT,male,244.0
0-4,PT,female,239.0
85-89,PT,female,59.0
35-39,PT,male,414.0
5-9,PT,female,264.0
100+,PT,female,0.0
50-54,PT,male,397.0
95-99,PT,female,3.0
10-14,PT,male,269.0
10-14,PT,female,285.0
0-4,PT,male,225.0
75-79,PT,female,177.0
5-9,PT,male,250.0
15-19,PT,female,277.0
45-49,PT,female,386.0
20-24,PT,female,285.0
45-49,PT,male,395.0
20-24,PT,male,275.0
70-74,PT,female,214.0
25-29,PT,female,309.0
50-54,PT,female,378.0
70-74,PT,male,270.0
55-59,PT,female,343.0
30-34,PT,male,362.0
30-34,PT,female,371.0
90-94,US,male,1193.0
75-79,US,female,3641.0
70-74,US,female,5278.0
65-69,US,female,7561.0
60-64,US,female,9217.0
55-59,US,female,10689.0
50-54,US,female,11013.0
45-49,US,female,10454.0
40-44,US,female,10159.0
10-14,US,male,10346.0
35-39,US,female,10329.0
30-34,US,female,10984.0
25-29,US,female,11385.0
20-24,US,female,11601.0
15-19,US,female,11025.0
10-14,US,female,10771.0
5-9,US,female,10632.0
0-4,US,female,10788.0
100+,US,male,61.0
95-99,US,male,361.0
5-9,US,male,10201.0
85-89,US,male,2459.0
80-84,US,male,3394.0
75-79,US,male,4532.0
70-74,US,male,6179.0
65-69,US,male,8483.0
60-64,US,male,10004.0
55-59,US,male,11264.0
50-54,US,male,11413.0
45-49,US,male,10659.0
0-4,US,male,10306.0
40-44,US,male,10308.0
35-39,US,male,10352.0
30-34,US,male,10863.0
25-29,US,male,11011.0
20-24,US,male,11094.0
100+,US,female,13.0
95-99,US,female,115.0
90-94,US,female,541.0
15-19,US,male,10570.0
85-89,US,female,1441.0
80-84,US,female,2442.0
